00762元大全球 AI,,,,,,,,2363矽統,,,,,,,,1701中化,,,,,,,,2303聯電,,,,,,,,2471資通,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume
2019/1/1,19.99,20.08,19.33,19.780001,19.780001,27716814,,2019/1/1,9.36,9.63,8.75,8.85,8.85,37177602,,2019/1/1,18.1,19.450001,17.950001,18.450001,17.695013,25223442,,2019/1/1,11.25,12,10.55,11.35,10.900653,729704697,,2019/1/1,14.75,15,14.45,14.65,13.769114,926735
2019/2/1,19.780001,22.120001,19.780001,22.07,22.07,11537223,,2019/2/1,8.85,9.3,8.7,8.86,8.86,47790688,,2019/2/1,18.450001,19.200001,18.4,18.9,18.126598,8809154,,2019/2/1,11.35,11.75,10.8,11.45,10.996693,551352738,,2019/2/1,14.65,15.5,14.5,15.3,14.380032,961674
2019/3/1,22.07,23.040001,21.48,22.280001,22.280001,5934279,,2019/3/1,8.86,8.99,8.03,8.03,8.03,34429512,,2019/3/1,18.9,19.200001,18.799999,18.9,18.126598,14170063,,2019/3/1,11.45,12,11.3,11.65,11.188775,501860901,,2019/3/1,15.3,17.299999,15.1,16.85,15.836832,9088738
2019/4/1,22.6,24.58,22.6,23.74,23.74,23561760,,2019/4/1,8.05,9.56,8,8.84,8.84,114284567,,2019/4/1,18.9,19.1,18.700001,18.85,18.078644,7497898,,2019/4/1,11.7,13.5,11.55,13.45,12.917513,1227709534,,2019/4/1,17,19.549999,16.299999,18.1,17.011671,14721854
2019/5/1,23.74,23.74,21.299999,21.41,21.41,10237190,,2019/5/1,8.84,8.97,7.6,8.07,8.07,34675978,,2019/5/1,18.85,19,18.35,18.75,17.982737,8012457,,2019/5/1,13.45,13.9,12.15,12.9,12.389287,1059571017,,2019/5/1,18.1,18.85,16.6,17.5,16.447748,4690012
2019/6/1,21.309999,22.6,20.629999,22.5,22.5,5639001,,2019/6/1,8.12,8.31,7.88,8.12,8.12,20404898,,2019/6/1,18.85,19.15,18.700001,19.049999,18.27046,8300873,,2019/6/1,12.8,14.1,12.7,13.95,13.397717,738605729,,2019/6/1,17.5,18.700001,17.049999,18,16.917683,3327144
2019/7/1,22.690001,24.459999,22.690001,24.4,24.4,8477207,,2019/7/1,8.23,8.8,8.02,8.37,8.37,45167454,,2019/7/1,19.1,20.4,18.5,18.5,17.742966,26355378,,2019/7/1,14.05,15,13.2,13.8,13.253656,972050498,,2019/7/1,18.049999,18.85,16.799999,16.9,15.883824,4793237
2019/8/1,24,24.02,22.719999,23.370001,23.370001,6017000,,2019/8/1,8.31,8.36,7.67,8,8,26502386,,2019/8/1,18.5,18.700001,17.950001,18.549999,18.549999,5703208,,2019/8/1,13.65,13.65,12.7,13.45,13.45,591753140,,2019/8/1,16.85,19.75,15.9,19,19,7666149
2019/9/1,23.370001,24.459999,23.32,23.809999,23.809999,3881845,,2019/9/1,8.02,8.75,8,8.13,8.13,61549258,,2019/9/1,18.6,19.1,18.5,18.75,18.75,8686440,,2019/9/1,13.35,14,13.2,13.4,13.4,464609029,,2019/9/1,19,21.299999,18.75,19.85,19.85,14119871
2019/10/1,23.85,24,23.040001,23.950001,23.950001,6065736,,2019/10/1,8.23,8.59,8.03,8.13,8.13,30093709,,2019/10/1,18.75,19.25,18.700001,19.15,19.15,6318432,,2019/10/1,13.4,14.8,13.15,14,14,791292754,,2019/10/1,19.799999,20.35,18.200001,18.799999,18.799999,4679498
2019/11/1,23.93,24.91,23.870001,24.709999,24.709999,4480257,,2019/11/1,8.12,8.38,7.89,8.11,8.11,37002271,,2019/11/1,19.1,19.450001,18.799999,19,19,10257176,,2019/11/1,14.15,15.5,14.1,14.95,14.95,1224988127,,2019/11/1,18.9,18.950001,17.5,18.049999,18.049999,3842911
2019/12/1,24.709999,26.059999,24.309999,25.57,25.57,3910686,,2019/12/1,8.11,9.35,8.09,9.13,9.13,100762708,,2019/12/1,19,19.299999,18.799999,19.25,19.25,5872556,,2019/12/1,15,17.049999,15,16.450001,16.450001,1544572953,,2019/12/1,18.049999,18.799999,17.85,18.700001,18.700001,1873046
2020/1/1,25.57,28.280001,25.559999,27.41,27.41,6608378,,2020/1/1,9.13,9.29,7.28,7.43,7.43,50334251,,2020/1/1,19.25,22.700001,19,21,21,20300932,,2020/1/1,16.450001,16.65,14.8,14.9,14.9,718448857,,2020/1/1,18.700001,19.700001,18.15,18.200001,18.200001,3976958
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5471松翰,,,,,,,,2890永豐金,,,,,,,,2342茂矽,,,,,,,,4133亞諾法,,,,,,,,00746B 富邦A級公司債,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume
2019/1/1,29.75,29.75,28,28.549999,26.705774,1709629,,2019/1/1,10.3,10.5,10.05,10.35,9.843647,240999975,,2019/1/1,19.85,21.15,18.1,20.6,20.338873,26339747,,2019/1/1,30,30.75,28.200001,28.700001,28.095789,1220217,,2019/1/1,39.099998,40.419998,39.099998,40.400002,39.122154,163151074
2019/2/1,28.549999,29.799999,28.15,29.6,27.68795,1804840,,2019/2/1,10.35,10.8,10.35,10.75,10.224077,194585574,,2019/2/1,20.6,25.6,20.6,23.799999,23.498308,34873598,,2019/2/1,28.700001,33.299999,28.6,32.099998,31.424208,1299990,,2019/2/1,40.400002,41.18,40.400002,41.150002,39.848431,244956344
2019/3/1,29.6,31.4,28.799999,30.950001,28.950745,5496226,,2019/3/1,10.75,11.4,10.7,11.4,10.842277,390481621,,2019/3/1,23.799999,24.200001,20.75,21.549999,21.276831,17066442,,2019/3/1,32.099998,32.900002,30,30.950001,30.298422,1030694,,2019/3/1,41.150002,42.650002,40.810001,42.599998,41.252563,53084000
2019/4/1,30.950001,32.5,30.950001,31.4,29.371675,5237881,,2019/4/1,11.4,12,11.35,11.9,11.317815,290585609,,2019/4/1,21.799999,23.5,20.299999,20.65,20.388239,18150570,,2019/4/1,31.200001,31.450001,29.700001,29.85,29.221579,702314,,2019/4/1,42.720001,42.919998,42.25,42.419998,41.078255,29072648
2019/5/1,31.4,32.150002,29.5,30.75,28.763664,3153442,,2019/5/1,11.9,12.3,11.55,12.25,11.650692,385442223,,2019/5/1,20.65,21.25,17.15,18.4,18.166759,10823331,,2019/5/1,29.85,30.65,27,27.65,27.067894,947342,,2019/5/1,42.419998,44.389999,42.419998,44.330002,42.927845,39356397
2019/6/1,30.950001,31.6,30.5,31.549999,29.511986,1966134,,2019/6/1,12.2,13.1,12.1,13.05,12.411554,317127580,,2019/6/1,18.5,20.75,17.85,19.700001,19.450283,12110296,,2019/6/1,27.700001,28.25,27.4,28,27.410526,701430,,2019/6/1,44.650002,45.389999,43.91,45.25,44.190647,64692987
2019/7/1,31.700001,32.400002,30.25,31.15,29.137825,6194770,,2019/7/1,13,13.1,12.4,12.4,11.793353,432067672,,2019/7/1,20.25,23.049999,19.6,20.25,19.993309,26054880,,2019/7/1,28.15,29.549999,27.950001,28.1,27.508421,1475341,,2019/7/1,45.18,46.279999,44.75,45.290001,44.22971,5252983
2019/8/1,31.5,35.799999,29.799999,34.700001,34.700001,19039948,,2019/8/1,12.35,12.55,11.7,11.85,11.85,424552865,,2019/8/1,20.15,20.85,18.299999,20.4,20.141409,11724935,,2019/8/1,27.9,28.1,26.700001,26.950001,26.950001,1648943,,2019/8/1,45.619999,49,45.619999,48.540001,47.840466,2308865
2019/9/1,34.799999,36.099998,33.299999,33.599998,33.599998,13439950,,2019/9/1,11.85,12.65,11.8,12.1,12.1,316207546,,2019/9/1,20.65,21.9,19.200001,19.299999,19.055351,12951401,,2019/9/1,26.85,28.9,26.85,28.35,28.35,1220379,,2019/9/1,48.639999,48.650002,45.939999,47.189999,46.509918,2706809
2019/10/1,33.599998,34.200001,31.799999,33.400002,33.400002,7127942,,2019/10/1,12.2,12.6,12,12.5,12.5,219780122,,2019/10/1,19.5,20.85,19.049999,19.4,19.4,5829548,,2019/10/1,28.5,29.25,27.299999,28.5,28.5,910547,,2019/10/1,47.119999,47.639999,45.349998,45.900002,45.23851,5092662
2019/11/1,33.349998,33.900002,32,32,32,4537501,,2019/11/1,12.5,13.1,12.5,12.85,12.85,257441926,,2019/11/1,19.450001,19.85,18,18.5,18.5,4602229,,2019/11/1,28.5,28.65,26.35,26.799999,26.799999,1582537,,2019/11/1,46.09,46.639999,45.200001,46.52,46.167805,1843065
2019/12/1,32,33.349998,31.9,32.75,32.75,4015915,,2019/12/1,12.85,13.35,12.75,13,13,308584762,,2019/12/1,18.799999,21.35,18,20.299999,20.299999,19543741,,2019/12/1,26.799999,26.799999,25.25,25.4,25.4,1229532,,2019/12/1,46.380001,46.68,45.66,46.060001,45.711288,2037244
2020/1/1,32.75,33.75,30.85,31.299999,31.299999,4289063,,2020/1/1,13,13.5,12.8,12.9,12.9,302969622,,2020/1/1,20.299999,20.450001,17.15,17.75,17.75,6349075,,2020/1/1,25.4,30.15,25.25,30.15,30.15,4334600,,2020/1/1,46.060001,47.900002,45.709999,47.580002,47.21978,1804324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
